pair_id,start_gantry_id,start_link_id,longitude,latitude,end_gantry_id,end_link_id,longitude,latitude,distance_km,direction
01F3185S_01F3227S,01F3185S,0000100031900D,120.253025,23.051311,01F3227S,0000100032300D,120.249997,23.014172,4.2,South
01F3227N_01F3185N,01F3227N,0000100132300D,120.249997,23.014172,01F3185N,0000100131840D,120.253025,23.051311,4.2,North
01F3227S_01F3252S,01F3227S,0000100032300D,120.249997,23.014172,01F3252S,0000100032500D,120.248175,22.991814,2.5,South
01F3252N_01F3227N,01F3252N,0000100132500D,120.248175,22.991814,01F3227N,0000100132300D,120.249997,23.014172,2.5,North
01F3252S_01F3286S,01F3252S,0000100032500D,120.248175,22.991814,01F3286S,0000100032900D,120.249822,22.960903,3.4,South
01F3286N_01F3252N,01F3286N,0000100132900D,120.249822,22.960903,01F3252N,0000100132500D,120.248175,22.991814,3.4,North
01F3286S_01F3366S,01F3286S,0000100032900D,120.249822,22.960903,01F3366S,0000100033700E,120.27215,22.892619,8,South
01F3366N_01F3286N,01F3366N,0000100133700E,120.27215,22.892619,01F3286N,0000100132900D,120.249822,22.960903,8,North
01F3366S_01F3398S,01F3366S,0000100033700E,120.27215,22.892619,01F3398S,0000100034000E,120.284989,22.867419,3.2,South
01F3398N_01F3366N,01F3398N,0000100134000E,120.284989,22.867419,01F3366N,0000100133700E,120.27215,22.892619,3.2,North
01F3398S_01F3460S,01F3398S,0000100034000E,120.284989,22.867419,01F3460S,0000100034600E,120.312731,22.818039,6.2,South
01F3460N_01F3398N,01F3460N,0000100134600E,120.312731,22.818039,01F3398N,0000100134000E,120.284989,22.867419,6.2,North
01F3460S_01F3535S,01F3460S,0000100034600E,120.312731,22.818039,01F3535S,0000100135400E,120.334056,22.752806,7.5,South
01F3535N_01F3460N,01F3535N,0000100135400E,120.334056,22.752806,01F3460N,0000100134600E,120.312731,22.818039,7.5,North
01F3535S_01F3561S,01F3535S,0000100135400E,120.334056,22.752806,01F3561S,0000100035600E,120.333764,22.728956,2.6,South
01F3559N_01F3535N,01F3559N,0000100135600E,120.334286,22.730903,01F3535N,0000100135400E,120.334056,22.752806,2.4,North
01F3561S_01F3590S,01F3561S,0000100035600E,120.333764,22.728956,01F3590S,0000100035900E,120.328181,22.703364,2.9,South
01F3590N_01F3559N,01F3590N,0000100135900E,120.328181,22.703364,01F3559N,0000100135600E,120.334286,22.730903,3.1,North
01F3590S_01F3640S,01F3590S,0000100035900E,120.328181,22.703364,01F3640S,0000100036400E,120.332081,22.658892,5,South
01F3590S_03F3743N,01F3590S,0000100035900E,120.328181,22.703364,03F3743N,0000300137400E,120.38543,22.845121,30.2,North
01F3590S_03F3854S,01F3590S,0000100035900E,120.328181,22.703364,03F3854S,0000300038600E,120.44184,22.769197,23.3,South
01F3640N_01F3590N,01F3640N,0000100136400E,120.332081,22.658892,01F3590N,0000100135900E,120.328181,22.703364,5,North
01F3640N_03F3743N,01F3640N,0000100136400E,120.332081,22.658892,03F3743N,0000300137400E,120.38543,22.845121,28.4,North
01F3640N_03F3854S,01F3640N,0000100136400E,120.332081,22.658892,03F3854S,0000300038600E,120.44184,22.769197,21.5,South
01F3640S_01F3676S,01F3640S,0000100036400E,120.332081,22.658892,01F3676S,0000100036800E,120.336222,22.627819,3.6,South
01F3676N_01F3640N,01F3676N,0000100136800E,120.336222,22.627819,01F3640N,0000100136400E,120.332081,22.658892,3.6,North
01F3676S_01F3686S,01F3676S,0000100036800E,120.336222,22.627819,01F3686S,0000100036900E,120.336647,22.619119,1,South
01F3686S_01F3736S,01F3686S,0000100036900E,120.336647,22.619119,01F3736S,0000101076030E,120.32315,22.581933,5,South
01F3696N_01F3676N,01F3696N,0000100137000E,120.339608,22.609428,01F3676N,0000100136800E,120.336222,22.627819,2,North
01F3736N_01F3696N,01F3736N,0000101176100E,120.32315,22.581933,01F3696N,0000100137000E,120.339608,22.609428,4,North
01H0163S_01H0206S,01H0163S,00001A0001600A,121.598733,25.064006,01H0206S,00001A0002000A,121.557739,25.07275,4.3,South
01H0174N_01F0099N,01H0174N,00001A0101700A,121.588044,25.065544,01F0099N,0000100100900F,121.659422,25.076044,7.5,North
01H0174N_03F0054N,01H0174N,00001A0101700A,121.588044,25.065544,03F0054N,0000300100520C,121.681789,25.103747,11.4,North
01H0174N_03F0116S,01H0174N,00001A0101700A,121.588044,25.065544,03F0116S,0000300001160F,121.643467,25.065611,6.3,South
01H0200N_01H0174N,01H0200N,00001A0102000A,121.562519,25.070994,01H0174N,00001A0101700A,121.588044,25.065544,2.6,North
01H0206S_01H0305S,01H0206S,00001A0002000A,121.557739,25.07275,01H0305S,00001A0003000F,121.460661,25.075553,9.9,South
01H0208N_01H0200N,01H0208N,00001A0102080A,121.555014,25.072261,01H0200N,00001A0102000A,121.562519,25.070994,0.8,North
01H0271N_01H0208N,01H0271N,00001A0102700F,121.494019,25.075256,01H0208N,00001A0102080A,121.555014,25.072261,6.3,North
01H0305S_01F0339S,01H0305S,00001A0003000F,121.460661,25.075553,01F0339S,0000100003380F,121.428764,25.068239,3.3,South
01H0305S_01H0334S,01H0305S,00001A0003000F,121.460661,25.075553,01H0334S,00001B0003300F,121.433281,25.068728,2.9,South
01H0333N_01H0271N,01H0333N,00001B0103310F,121.435133,25.068147,01H0271N,00001A0102700F,121.494019,25.075256,6.2,North
01H0334S_01H0447S,01H0334S,00001B0003300F,121.433281,25.068728,01H0447S,00001B0004400H,121.331858,25.060125,11.3,South
01H0447N_01F0340N,01H0447N,00001B0104400H,121.332072,25.059242,01F0340N,0000100103380F,121.428056,25.068,10.7,North
